"Release_Number","Localized_Title_EN","System","Publisher","Country","Language","Genre","Release_Date","Dump_Group","Dump_Directory_Name","Dump_File_Name","Dump_Date","Internal_Title","Internal_Serial","Internal_Version","Complement_Check","CRC32","ROM_Size","Save_Type","Comments","Release_Notes"
"1288","Dr Seuss - Green Eggs and Ham","GameBoy Advance","NewKidCo","USA","English","","","Mode7","","m7-geggh.zip","2003-11-21","GREENEGGSHAM","AGB-BUSE-USA","1.0","34h","E4AE2CD1h","32 Mbit","EEPROM_V122 (4Kbit)","",""
"1289","American Idol","GameBoy Advance","Codemasters","USA","English","","","Mode7","","m7-aidol.zip","2003-11-21","POPIDOL","AGB-BIDE-USA","1.0","BDh","F053FFBFh","128 Mbit","No Save","",""
"1290","Teenage Mutant Ninja Turtles","GameBoy Advance","Konami","Europe","Multi 5","","","Rising Sun","","rs-tmnt.zip","2003-11-22","TMNT GBA","AGB-BNTP-EUR","1.0","7Bh","8BE170C4h","64 Mbit","EEPROM_V122 (4KBit)","",""
"1291","Hot Wheels - World Race","GameBoy Advance","THQ","USA","English","","","Mode7","","m7-hotwr.zip","2003-11-23","HOTWHEELS WR","AGB-BHWE-USA","1.0","40h","CB313505h","64 Mbit","No Save","",""
"1292","F-Zero - Falcon Densetsu","GameBoy Advance","Nintendo","Japan","Japanese","","","Eurasia","","eur-fzfd.zip","2003-11-25","F-ZERO2","AGB-BFZJ-JAP","1.0","DFh","2446B920h","128 Mbit","SRAM_V113 (256Kbit)","",""
"1293","Crash Nitro Kart","GameBoy Advance","Vivendi","Europe","Multi 6","","","Rising Sun","","rs-cnkart.zip","2003-11-25","NITRO KART","AGB-BCNP-EUR","1.0","D5h","D5BB1C0Fh","64 Mbit","EEPROM_V122 (4Kbit)","",""
"1294","SD Gundam G Generation Advance","GameBoy Advance","Bandai","Japan","Japanese","","","Independent","","ind-sdgd.zip","2003-11-28","GGENE A","AGB-BGAJ-JPN","1.0","02h","1329FBE7h","128 Mbit","EEPROM_V124 (64Kbit) (Patched)","",""
"1295","Hot Wheels - World Race","GameBoy Advance","THQ","Europe","English","","","Supplex","","sx-hwwr.zip","2003-11-26","HOTWHEELS WO","AGB-BHWP-EUR","1.0","38h","B9F17F8Fh","64 Mbit","No Save","",""
"1296","Oddworld - Munch's Oddysee","GameBoy Advance","THQ","Germany","German","","","Rising Sun","","rs-munch.zip","2003-11-26","MUNCH","AGB-BODD-NOE","1.0","4Eh","FCC570A7h","64 Mbit","No Save","",""
"1297","Dragon Ball Z - Taiketsu","GameBoy Advance","Infogrames","USA","English","","","Rising Sun","","rs-dbzt.zip","2003-11-26","DBZ TAIKETSU","AGB-BDBE-USA","1.0","73h","993B721Eh","64 Mbit","EEPROM_V122 (4Kbit)","",""
"1298","Crouching Tiger Hidden Dragon","GameBoy Advance","Ubi Soft","Europe","Multi 5","","","Cezar","","c-cthdra.zip","2003-11-28","CROUCHING TI","AGB-AQDP-EUR","1.0","67h","B9A75AC4h","64 Mbit","No Save","",""
"1299","Worms World Party","GameBoy Advance","Ubi Soft","USA","Multi 5","","","Ongaku","","o-wwpusa.zip","2003-11-28","WORMSWORLDPT","AGB-AWYE-USA","1.0","F2h","E8789C18h","32 Mbit","No Save","",""
"1300","Dora the Explorer - Super Spies","GameBoy Advance","Gotham Games","USA","English","","","Rising Sun","","rs-dora.zip","2003-11-29","DORA SUPER S","AGB-BERE-USA","1.0","6Bh","650FDFDBh","32 Mbit","No Save","",""
"1301","Premier Manager 2003-04","GameBoy Advance","Zoo Digital","Europe","Multi 4","Sports","","ZBB","","zbb-pman.zip","2003-12-01","PREMIER MAN","AGB-BPMP-EUR","1.0","91h","A959F638h","32 Mbit","FLASH512_V131 (512Kbit)","",""
"1302","Mission Impossible - Operation Surma","GameBoy Advance","Infogrames","Europe","Multi 5","Action","","Rising Sun","","rs-mimp.zip","2003-12-02","MISSION IMPO","AGB-AIHP-EUR","1.0","51h","67C07A24h","32 Mbit","EEPROM_V122 (4Kbit)","",""
"1303","Gachasta! Dino Device 2 Dragon","GameBoy Advance","Smilesoft","Japan","Japanese","","","Cezar","","c-dd2dra.zip","2003-12-03","DINO2 DRAGON","AGB-A4XJ-JPN","1.0","83h","A63DFD2Ch","32 Mbit","EEPROM_V124 (4Kbit)","",""
"1304","Gachasta! Dino Device 2 Phoenix","GameBoy Advance","Smilesoft","Japan","Japanese","","","Cezar","","c-dd2pnx.zip","2003-12-03","DINO2 PHOENI","AGB-A4WJ-JPN","1.0","7Ch","67E21BFEh","32 Mbit","EEPROM_V124 (4Kbit)","",""
"1305","Onimusha Tactics","GameBoy Advance","Capcom","Europe","English","","","Patience","","ptc-onim.zip","2003-12-03","ONITAC1EU","AGB-A6OP-EUR","1.0","4Ah","63AA930Ah","64 Mbit","EEPROM_V122 (64Kbit)","",""
"1306","Lizzie McGuire","GameBoy Advance","THQ","Europe","Multi 4","","","Rising Sun","","rs-lizz.zip","2003-12-03","LIZZIEMCGUIR","AGB-BLMP-EUR","1.0","19h","3CE6D10Ah","32 Mbit","EEPROM_V120 (64Kbit)","",""
"1307","Power Pro Kun Pocket 6","GameBoy Advance","Konami","Japan","Japanese","Sports","","Rising Sun","","rs-ppp6.zip","2003-12-03","PAWAPOKE6","AGB-BP6J-JPN","1.0","21h","023A9A75h","64 Mbit","SRAM_V112 (256Kbit)","",""
"1308","Yu Yu Hakusho - Spirit Detective","GameBoy Advance","Infogrames","USA","English","Action","","Mode7","","m7-yuyuh.zip","2003-12-04","YUYUHAKUSHO1","AGB-BYYE-USA","1.0","11h","D3784B52h","64 Mbit","EEPROM_V122 (4Kbit)","",""
"1309","Sonic Battle","GameBoy Advance","Sega","Japan","Japanese","","","Eurasia","","eur-soba.zip","2003-12-04","SONICBATTLE","AGB-BSBJ-JPN","1.0","70h","7305AC30h","128 Mbit","FLASH512_V131 (512Kbit)","",""
"1310","Pazunin - Uminin No Puzzle de Nimu","GameBoy Advance","Metro3D","Japan","Japanese","Puzzle","","Rising Sun","","rs-pazu.zip","2003-12-04","PAZUNINN","AGB-BPZJ-JPN","1.0","25h","8DAA89C9h","32 Mbit","EEPROM_V122 (4Kbit)","",""
"1311","Deutschland sucht den Superstar","GameBoy Advance","Codemasters","Germany","German","","","Rising Sun","","rs-dsds.zip","2003-12-04","POPIDOL","AGB-BIDD-NOE","1.0","BEh","5F46CEEAh","128 Mbit","No Save","",""
"1312","The Sims - Bustin Out","GameBoy Advance","Electronic Arts","USA","Multi 6","","","Mode7","","m7-simf.zip","2003-12-04","THE SIMS ADV","AGB-ASIE-USA","1.0","88h","ABAF519Ch","128 Mbit","EEPROM_V124 (64Kbit)","",""
